id,user_id,research_id,viewed_at,created_at
66,7e5f2b05-cfa0-49f3-847a-01a6318376ba,news-hantavirus-saham-kesehatan,2026-05-09 00:07:46.987785+00,2026-05-10 03:10:07.39644+00
67,7e5f2b05-cfa0-49f3-847a-01a6318376ba,news-windfall-tax-nikel,2026-05-09 00:08:05.438116+00,2026-05-10 03:10:07.39644+00
68,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 01:28:45.751847+00,2026-05-10 03:10:07.39644+00
69,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-tpia-corporate-history,2026-05-09 01:30:13.643467+00,2026-05-10 03:10:07.39644+00
70,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-adro-corporate-history,2026-05-09 01:30:20.164969+00,2026-05-10 03:10:07.39644+00
71,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 01:30:58.996999+00,2026-05-10 03:10:07.39644+00
72,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,gfs,2026-05-09 01:32:10.327731+00,2026-05-10 03:10:07.39644+00
73,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,gfs,2026-05-09 01:36:57.549338+00,2026-05-10 03:10:07.39644+00
74,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,gfs,2026-05-09 01:48:01.206959+00,2026-05-10 03:10:07.39644+00
75,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 01:48:09.325708+00,2026-05-10 03:10:07.39644+00
76,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 01:48:13.121888+00,2026-05-10 03:10:07.39644+00
77,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,bbri,2026-05-09 02:16:16.013907+00,2026-05-10 03:10:07.39644+00
78,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 02:19:12.303951+00,2026-05-10 03:10:07.39644+00
79,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 02:23:11.003474+00,2026-05-10 03:10:07.39644+00
80,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 02:30:59.110274+00,2026-05-10 03:10:07.39644+00
81,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 03:20:34.934824+00,2026-05-10 03:10:07.39644+00
82,caa892cd-5fcb-4b95-8d8d-d6f71e861bb8,pyfa,2026-05-09 03:52:35.254782+00,2026-05-10 03:10:07.39644+00
83,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,news-hantavirus-saham-kesehatan,2026-05-09 04:39:12.547459+00,2026-05-10 03:10:07.39644+00
84,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,news-hantavirus-saham-kesehatan,2026-05-09 04:54:52.227084+00,2026-05-10 03:10:07.39644+00
85,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 04:58:31.026488+00,2026-05-10 03:10:07.39644+00
86,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 04:58:34.707669+00,2026-05-10 03:10:07.39644+00
87,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:01:24.36617+00,2026-05-10 03:10:07.39644+00
88,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:01:26.176206+00,2026-05-10 03:10:07.39644+00
89,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:02:38.431598+00,2026-05-10 03:10:07.39644+00
90,7e5f2b05-cfa0-49f3-847a-01a6318376ba,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:05:37.992231+00,2026-05-10 03:10:07.39644+00
91,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:05:57.539142+00,2026-05-10 03:10:07.39644+00
92,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:06:04.37111+00,2026-05-10 03:10:07.39644+00
93,cd45eb9f-7acb-4398-86ae-8eeaee74b8e1,news-hantavirus-saham-kesehatan,2026-05-09 05:09:46.371765+00,2026-05-10 03:10:07.39644+00
94,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:49:32.098096+00,2026-05-10 03:10:07.39644+00
95,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:53:22.914733+00,2026-05-10 03:10:07.39644+00
96,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 05:55:27.123079+00,2026-05-10 03:10:07.39644+00
97,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,pyfa,2026-05-09 05:56:55.987777+00,2026-05-10 03:10:07.39644+00
98,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 06:00:42.367804+00,2026-05-10 03:10:07.39644+00
99,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 07:07:00.449849+00,2026-05-10 03:10:07.39644+00
